GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
home,ua.lviv.iot.houses.model,House,47,72,0,0,22,14,13,6,13,6
home,ua.lviv.iot.houses.model,SortOrder,0,24,0,0,0,2,0,1,0,1
home,ua.lviv.iot.houses.model,LocatedNear,0,44,0,0,0,2,0,1,0,1
home,ua.lviv.iot.houses.model,Heating,44,0,0,0,2,0,1,0,1,0
home,ua.lviv.iot.houses.model,Penthouse,7,9,0,0,3,2,2,1,2,1
home,ua.lviv.iot.houses.model,Infrastructure,23,0,0,0,8,0,5,0,5,0
home,ua.lviv.iot.houses.model,Mansion,14,9,0,0,6,2,4,1,4,1
home,ua.lviv.iot.houses.model,Apartment,7,9,0,0,3,2,2,1,2,1
home,ua.lviv.iot.houses.model,AvailableHouse,0,44,0,0,0,2,0,1,0,1
home,ua.lviv.iot.houses.manager,HouseManagerImpl,0,237,3,19,0,46,3,19,0,11
